kind,event_index,hand,finger,midi_note,note_name,onset_beat,duration_beats,note_on_time_sec,note_off_time_sec,velocity,sounding_beats,slot_end_time_sec,phrase_index,scale_degree,is_phrase_start
note,0,L,L1,60,C4,0.0,1.0,0.000,0.750,80,0.75,1.000,0,1,1
note,1,L,L3,57,A3,1.0,1.0,1.000,1.750,80,0.75,2.000,0,6,0
note,2,L,L2,59,B3,2.0,1.0,2.000,2.750,80,0.75,3.000,0,7,0
note,3,L,L2,59,B3,3.0,2.0,3.000,4.750,80,1.75,5.000,0,7,0
note,4,L,L1,60,C4,5.0,1.0,5.000,5.750,80,0.75,6.000,1,1,1
note,5,L,L3,57,A3,6.0,1.0,6.000,6.750,80,0.75,7.000,1,6,0
note,6,L,L2,59,B3,7.0,1.0,7.000,7.750,80,0.75,8.000,1,7,0
note,7,L,L2,59,B3,8.0,2.0,8.000,9.750,80,1.75,10.000,1,7,0
rest,,,,,,10.0,1.0,,,,,11.000,,,
note,8,L,L1,60,C4,11.0,1.0,11.000,11.750,80,0.75,12.000,2,1,1
note,9,R,R3,64,E4,12.0,1.0,12.000,12.750,80,0.75,13.000,2,3,0
note,10,R,R2,62,D4,13.0,1.0,13.000,13.750,80,0.75,14.000,2,2,0
note,11,R,R2,62,D4,14.0,2.0,14.000,15.750,80,1.75,16.000,2,2,0
rest,,,,,,16.0,1.0,,,,,17.000,,,
note,12,R,R3,64,E4,17.0,1.0,17.000,17.750,80,0.75,18.000,3,3,1
note,13,R,R2,62,D4,18.0,1.0,18.000,18.750,80,0.75,19.000,3,2,0
note,14,L,L1,60,C4,19.0,3.0,19.000,21.750,80,2.75,22.000,3,1,0
