participant,condition,mean,sd_raw,sd_corrected,range,cv_raw,cv_corrected,mean_cell_sem,n_fingers
P01,B,1.0302442464378267,0.0969736280743879,0.08032059225291018,0.2488956685754593,0.09412683294246388,0.07796267004705604,0.05097460481157162,5
P01,C,0.7148725120371227,0.11700331640026759,0.11326635674911897,0.285744342861311,0.16367018514511258,0.15844273607101172,0.028124679960538933,5
P02,B,0.8104477759772386,0.05558326075053468,0.04735117036575643,0.15448928229949055,0.06858339599181741,0.05842593658630298,0.028883774551396492,5
P02,C,0.6614562645595402,0.07276588031165435,0.06854775550313402,0.1667728286352217,0.1100086040610844,0.10363157653179014,0.023486768203982156,5
P03,B,0.9505961354215018,0.08827864497353068,0.08010572093950427,0.1970020973397819,0.09286661462639677,0.08426893183611016,0.035801634535473845,5
P03,C,0.7856224173751072,0.11234836632517037,0.10268813857356139,0.2990689724210709,0.1430055505551186,0.13070927751356592,0.039988003745769,5
P04,B,1.264994051637699,0.22774381123946036,0.21681475595983124,0.5156298553418814,0.1800354799649978,0.17139586994827083,0.06753234448216447,5
P04,C,0.8684179369277544,0.13186005260031397,0.1261209711421204,0.32052569605559755,0.15183939321520912,0.14523073024988967,0.03806113113482266,5
P05,B,1.1347360082431308,0.08944308571923472,0.07385138148055818,0.23430084845139865,0.07882281435460578,0.06508243410280026,0.0494495543084914,5
P05,C,0.8335978392333088,0.08356896121763158,0.07092012872509448,0.2151652119629336,0.10025093310521664,0.08507715038023897,0.043199898822637806,5
P06,B,1.0985855585137094,0.14400349700838555,0.12684372383580939,0.37522054271013405,0.13108082105431074,0.11546094234792044,0.06224287630512106,5
P06,C,0.777435539981399,0.11757552618306118,0.11399011094561332,0.303288052953128,0.15123508012751039,0.14662323123064408,0.027850134701356492,5
P07,B,0.8748212665180148,0.05417238428712054,0.04244986204025204,0.1422097780101368,0.06192394533655863,0.048524039898129166,0.031950805095872975,5
P07,C,0.8306024423043791,0.05790596756631238,0.0481196893159092,0.13981322099048477,0.06971562400618658,0.05793347920144384,0.031780861468814446,5
P08,B,1.158000930752417,0.13039505444936209,0.11913841910940605,0.320388330353631,0.11260358345708515,0.1028828353635219,0.05212830961152398,5
P08,C,0.7150463394944936,0.06577051016084233,0.061148009497088485,0.17334271083511454,0.09198076617990827,0.08551614926148346,0.023869332370393077,5
P09,B,0.97408331061848,0.06333467900412959,0.03600749337159856,0.1587355714980726,0.06501977635148698,0.03696551719866356,0.05086002848744162,5
P09,C,0.6548792477415506,0.08575628868174322,0.07854186306250156,0.19233282609861724,0.1309497727672493,0.11993335158102042,0.03289284855962094,5
P10,B,0.9531843795636321,0.10190046575126877,0.094565961601002,0.23773342390855146,0.10690530388036658,0.0992105657924171,0.03760598069468992,5
P10,C,0.6469212244096999,0.06465522385786351,0.05607513571170904,0.15515764088046802,0.09994296278787244,0.08668000615202609,0.031219041040361918,5
P11,B,0.7413753541051712,0.0460583849779463,0.03780191038021355,0.11179873774314175,0.062125594980882624,0.05098889539677223,0.025227377066832528,5
P11,C,0.5251915889577268,0.0737414984877856,0.06890091528075724,0.1817123794236709,0.14040875756241622,0.13119196257025958,0.02520842369293429,5
P12,B,0.9541549366528924,0.09167413239369107,0.08105691913156925,0.1938926295716633,0.09607887448057167,0.08495152728120985,0.04073562191367895,5
P12,C,0.7315611691475501,0.07117099980316428,0.0671710495506409,0.18462337079036295,0.0972864646248189,0.09181877385442944,0.023085656284711358,5
P13,B,0.8916938888026673,0.07257060692505837,0.06571188791618769,0.19002480918959697,0.08138511190483029,0.07369332541285342,0.030579932099680535,5
P13,C,0.672715482582514,0.11193024064686703,0.10907596524374433,0.26667633053251594,0.16638570620847556,0.16214279003213705,0.024844876516961236,5
P14,B,1.0115486523948873,0.057159303242999,0.04401247097756561,0.13845771010531926,0.05650672669838643,0.043509989236171775,0.036116940136424636,5
P14,C,0.8696921197680785,0.08507734112308903,0.0740453668078688,0.1924003332746499,0.09782466598153916,0.08513974672739882,0.03863575517451813,5
P15,B,0.8982396851216782,0.04418835653009081,0.010790745809935132,0.11475382414129043,0.04919439350322729,0.012013214277515902,0.04153189313468416,5
P15,C,0.6585342625304447,0.11773544643618705,0.11353326178052116,0.27977020898347116,0.17878408631888615,0.17240296859310703,0.029521453984942568,5
P16,B,1.000229472663889,0.07640544765848961,0.0687740763797201,0.1929020225468876,0.07638791871929217,0.06875829822986083,0.03293419370998755,5
P16,C,0.8376733019717861,0.13213284265732803,0.12638941976744575,0.294334884740973,0.15773791804788642,0.15088151845109504,0.0376903275860588,5
