participant,condition,theta,fa,n_trials,n_events,source
P01,B,0.3,0.9851851851851853,9,270,automatic_target_probability
P01,B,0.35,0.9814814814814815,9,270,automatic_target_probability
P01,B,0.4,0.9777777777777776,9,270,automatic_target_probability
P01,B,0.45,0.9703703703703703,9,270,automatic_target_probability
P01,B,0.5,0.9666666666666666,9,270,automatic_target_probability
P01,C,0.3,0.9888888888888889,9,270,automatic_target_probability
P01,C,0.35,0.9851851851851853,9,270,automatic_target_probability
P01,C,0.4,0.9814814814814815,9,270,automatic_target_probability
P01,C,0.45,0.9740740740740742,9,270,automatic_target_probability
P01,C,0.5,0.9555555555555555,9,270,automatic_target_probability
P02,B,0.3,0.7925925925925926,9,270,automatic_target_probability
P02,B,0.35,0.7185185185185186,9,270,automatic_target_probability
P02,B,0.4,0.7000000000000001,9,270,automatic_target_probability
P02,B,0.45,0.6555555555555554,9,270,automatic_target_probability
P02,B,0.5,0.6000000000000001,9,270,automatic_target_probability
P02,C,0.3,0.8555555555555556,9,270,automatic_target_probability
P02,C,0.35,0.8259259259259258,9,270,automatic_target_probability
P02,C,0.4,0.8,9,270,automatic_target_probability
P02,C,0.45,0.7518518518518519,9,270,automatic_target_probability
P02,C,0.5,0.662962962962963,9,270,automatic_target_probability
P03,B,0.3,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.35,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.4,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.45,0.9481481481481482,9,270,automatic_target_probability
P03,B,0.5,0.9074074074074073,9,270,automatic_target_probability
P03,C,0.3,0.9629629629629631,9,270,automatic_target_probability
P03,C,0.35,0.9592592592592593,9,270,automatic_target_probability
P03,C,0.4,0.9592592592592593,9,270,automatic_target_probability
P03,C,0.45,0.9481481481481482,9,270,automatic_target_probability
P03,C,0.5,0.9370370370370371,9,270,automatic_target_probability
P04,B,0.3,0.9851851851851853,9,270,automatic_target_probability
P04,B,0.35,0.9851851851851853,9,270,automatic_target_probability
P04,B,0.4,0.9851851851851853,9,270,automatic_target_probability
P04,B,0.45,0.9777777777777779,9,270,automatic_target_probability
P04,B,0.5,0.9777777777777779,9,270,automatic_target_probability
P04,C,0.3,0.9962962962962963,9,270,automatic_target_probability
P04,C,0.35,0.9962962962962963,9,270,automatic_target_probability
P04,C,0.4,0.9962962962962963,9,270,automatic_target_probability
P04,C,0.45,0.9888888888888889,9,270,automatic_target_probability
P04,C,0.5,0.9740740740740742,9,270,automatic_target_probability
P05,B,0.3,0.9296296296296297,9,270,automatic_target_probability
P05,B,0.35,0.8962962962962963,9,270,automatic_target_probability
P05,B,0.4,0.8814814814814815,9,270,automatic_target_probability
P05,B,0.45,0.8518518518518517,9,270,automatic_target_probability
P05,B,0.5,0.8259259259259258,9,270,automatic_target_probability
P05,C,0.3,0.8999999999999999,9,270,automatic_target_probability
P05,C,0.35,0.8666666666666667,9,270,automatic_target_probability
P05,C,0.4,0.8259259259259258,9,270,automatic_target_probability
P05,C,0.45,0.7740740740740741,9,270,automatic_target_probability
P05,C,0.5,0.711111111111111,9,270,automatic_target_probability
P06,B,0.3,0.9592592592592593,9,270,automatic_target_probability
P06,B,0.35,0.9555555555555555,9,270,automatic_target_probability
P06,B,0.4,0.9555555555555555,9,270,automatic_target_probability
P06,B,0.45,0.9518518518518518,9,270,automatic_target_probability
P06,B,0.5,0.9481481481481482,9,270,automatic_target_probability
P06,C,0.3,1.0,9,270,automatic_target_probability
P06,C,0.35,1.0,9,270,automatic_target_probability
P06,C,0.4,0.9962962962962963,9,270,automatic_target_probability
P06,C,0.45,0.9925925925925926,9,270,automatic_target_probability
P06,C,0.5,0.9851851851851853,9,270,automatic_target_probability
P07,B,0.3,0.9777777777777779,9,270,automatic_target_probability
P07,B,0.35,0.9777777777777779,9,270,automatic_target_probability
P07,B,0.4,0.9740740740740742,9,270,automatic_target_probability
P07,B,0.45,0.9666666666666666,9,270,automatic_target_probability
P07,B,0.5,0.9481481481481482,9,270,automatic_target_probability
P07,C,0.3,0.9703703703703704,9,270,automatic_target_probability
P07,C,0.35,0.9555555555555555,9,270,automatic_target_probability
P07,C,0.4,0.9481481481481482,9,270,automatic_target_probability
P07,C,0.45,0.9444444444444444,9,270,automatic_target_probability
P07,C,0.5,0.9296296296296297,9,270,automatic_target_probability
P08,B,0.3,0.8814814814814815,9,270,automatic_target_probability
P08,B,0.35,0.8703703703703703,9,270,automatic_target_probability
P08,B,0.4,0.837037037037037,9,270,automatic_target_probability
P08,B,0.45,0.788888888888889,9,270,automatic_target_probability
P08,B,0.5,0.6777777777777777,9,270,automatic_target_probability
P08,C,0.3,0.9592592592592593,9,270,automatic_target_probability
P08,C,0.35,0.9370370370370371,9,270,automatic_target_probability
P08,C,0.4,0.9037037037037039,9,270,automatic_target_probability
P08,C,0.45,0.8037037037037037,9,270,automatic_target_probability
P08,C,0.5,0.637037037037037,9,270,automatic_target_probability
P09,B,0.3,0.9333333333333333,9,270,automatic_target_probability
P09,B,0.35,0.9296296296296297,9,270,automatic_target_probability
P09,B,0.4,0.925925925925926,9,270,automatic_target_probability
P09,B,0.45,0.9185185185185186,9,270,automatic_target_probability
P09,B,0.5,0.8962962962962963,9,270,automatic_target_probability
P09,C,0.3,0.9703703703703704,9,270,automatic_target_probability
P09,C,0.35,0.9703703703703704,9,270,automatic_target_probability
P09,C,0.4,0.9481481481481482,9,270,automatic_target_probability
P09,C,0.45,0.9185185185185186,9,270,automatic_target_probability
P09,C,0.5,0.8962962962962963,9,270,automatic_target_probability
P10,B,0.3,0.914814814814815,9,270,automatic_target_probability
P10,B,0.35,0.8925925925925926,9,270,automatic_target_probability
P10,B,0.4,0.8703703703703703,9,270,automatic_target_probability
P10,B,0.45,0.7740740740740741,9,270,automatic_target_probability
P10,B,0.5,0.6518518518518519,9,270,automatic_target_probability
P10,C,0.3,0.9518518518518518,9,270,automatic_target_probability
P10,C,0.35,0.9037037037037039,9,270,automatic_target_probability
P10,C,0.4,0.8074074074074074,9,270,automatic_target_probability
P10,C,0.45,0.6592592592592593,9,270,automatic_target_probability
P10,C,0.5,0.5333333333333333,9,270,automatic_target_probability
P11,B,0.3,0.9296296296296297,9,270,automatic_target_probability
P11,B,0.35,0.8925925925925926,9,270,automatic_target_probability
P11,B,0.4,0.825925925925926,9,270,automatic_target_probability
P11,B,0.45,0.7666666666666666,9,270,automatic_target_probability
P11,B,0.5,0.6481481481481481,9,270,automatic_target_probability
P11,C,0.3,0.9222222222222223,9,270,automatic_target_probability
P11,C,0.35,0.9000000000000001,9,270,automatic_target_probability
P11,C,0.4,0.8592592592592593,9,270,automatic_target_probability
P11,C,0.45,0.7999999999999999,9,270,automatic_target_probability
P11,C,0.5,0.6703703703703704,9,270,automatic_target_probability
P12,B,0.3,0.8592592592592594,9,270,automatic_target_probability
P12,B,0.35,0.8222222222222223,9,270,automatic_target_probability
P12,B,0.4,0.7814814814814814,9,270,automatic_target_probability
P12,B,0.45,0.6629629629629629,9,270,automatic_target_probability
P12,B,0.5,0.6,9,270,automatic_target_probability
P12,C,0.3,0.9037037037037037,9,270,automatic_target_probability
P12,C,0.35,0.8703703703703705,9,270,automatic_target_probability
P12,C,0.4,0.7925925925925925,9,270,automatic_target_probability
P12,C,0.45,0.6777777777777777,9,270,automatic_target_probability
P12,C,0.5,0.6148148148148148,9,270,automatic_target_probability
P13,B,0.3,0.9370370370370371,9,270,automatic_target_probability
P13,B,0.35,0.914814814814815,9,270,automatic_target_probability
P13,B,0.4,0.8888888888888891,9,270,automatic_target_probability
P13,B,0.45,0.8407407407407407,9,270,automatic_target_probability
P13,B,0.5,0.725925925925926,9,270,automatic_target_probability
P13,C,0.3,0.9888888888888889,9,270,automatic_target_probability
P13,C,0.35,0.9666666666666668,9,270,automatic_target_probability
P13,C,0.4,0.9333333333333333,9,270,automatic_target_probability
P13,C,0.45,0.8777777777777778,9,270,automatic_target_probability
P13,C,0.5,0.7592592592592593,9,270,automatic_target_probability
P14,B,0.3,0.9370370370370371,9,270,automatic_target_probability
P14,B,0.35,0.9074074074074073,9,270,automatic_target_probability
P14,B,0.4,0.874074074074074,9,270,automatic_target_probability
P14,B,0.45,0.7925925925925926,9,270,automatic_target_probability
P14,B,0.5,0.7185185185185186,9,270,automatic_target_probability
P14,C,0.3,0.9629629629629631,9,270,automatic_target_probability
P14,C,0.35,0.9518518518518518,9,270,automatic_target_probability
